12:13:08.078067 IP 172.16.114.148.ftp > 194.27.251.21.1303: Flags [P.], seq 2202519189:2202519237, ack 3019547173, win 32736, length 48
12:53:40.362904 IP 172.16.114.148.ftp > 135.8.60.182.2610: Flags [P.], seq 1357429901:1357429949, ack 4148965452, win 32736, length 48
12:59:21.108418 IP 172.16.112.50.ftp > 207.75.239.115.1026: Flags [P.], seq 636413306:636413354, ack 2981291278, win 8760, length 48
13:08:39.953427 IP 172.16.114.148.ftp > 135.13.216.191.3591: Flags [P.], seq 1434365294:1434365342, ack 409430699, win 32736, length 48
13:10:14.281245 IP 172.16.112.100.ftp > 135.8.60.182.4167: Flags [P.], seq 5593026:5593057, ack 1830837941, win 8713, length 31
13:15:20.098449 IP 172.16.112.100.ftp > 172.16.112.207.14071: Flags [P.], seq 5898729:5898760, ack 3421953230, win 8710, length 31
13:20:11.796918 IP 172.16.112.100.ftp > 172.16.114.148.18690: Flags [P.], seq 6190620:6190651, ack 2196345566, win 8711, length 31
13:20:22.911489 IP 172.16.112.100.ftp > 172.16.114.207.18889: Flags [P.], seq 6201432:6201463, ack 2178721867, win 8709, length 31
13:30:27.726671 IP 172.16.114.148.ftp > 206.48.44.50.4156: Flags [P.], seq 4136206055:4136206103, ack 2058335134, win 32736, length 48
13:33:21.163762 IP 172.16.114.148.ftp > 196.227.33.189.8290: Flags [P.], seq 4074717258:4074717306, ack 4220998934, win 32736, length 48
13:36:30.268242 IP 172.16.114.148.ftp > 108.218.115.195.rev.sfr.net.8636: Flags [P.], seq 1078976535:1078976583, ack 2891247633, win 32736, length 48
13:36:44.801138 IP 172.16.112.100.ftp > 172.16.112.149.8287: Flags [P.], seq 7183651:7183682, ack 962044558, win 8711, length 31
13:38:26.936288 IP 172.16.114.50.telnet > 172.16.114.168.10332: Flags [P.], seq 2149396444:2149396470, ack 1859869823, win 31744, length 26
13:44:51.131151 IP 172.16.112.50.telnet > 172.16.113.105.20085: Flags [P.], seq 981475205:981475222, ack 3420795465, win 8760, length 17
13:46:15.480777 IP 172.16.112.100.ftp > 172.16.114.148.21039: Flags [P.], seq 7754385:7754416, ack 114370474, win 8711, length 31
13:48:22.191934 IP 172.16.112.100.ftp > 206.48.44.50.4164: Flags [P.], seq 7878838:7878869, ack 2763839042, win 8714, length 31
13:49:39.180658 IP 172.16.113.50.telnet > 172.16.113.105.23241: Flags [P.], seq 1024256095:1024256112, ack 3146281053, win 4096, length 17
13:49:40.650105 IP 172.16.114.148.ftp > www.a-be.org.12348: Flags [P.], seq 1653851844:1653851892, ack 2497619132, win 32736, length 48
13:50:32.396791 IP 172.16.114.148.ftp > www.aasa.co.za.12360: Flags [P.], seq 1193564857:1193564905, ack 3897650724, win 32736, length 48
13:54:16.109535 IP 172.16.112.100.ftp > 135.13.216.191.12417: Flags [P.], seq 8235370:8235401, ack 4243528943, win 8715, length 31
13:59:28.366673 IP 172.16.112.100.ftp > 197.218.177.69.13319: Flags [P.], seq 8547604:8547635, ack 749804448, win 8714, length 31
14:00:27.144494 IP 172.16.112.50.telnet > 172.16.112.194.2687: Flags [P.], seq 1100462103:1100462120, ack 659017444, win 8760, length 17
14:00:28.994686 IP 172.16.112.100.ftp > 172.16.114.207.2728: Flags [P.], seq 8608135:8608166, ack 2278550667, win 8709, length 31
14:02:29.187055 IP 172.16.112.100.ftp > 172.16.113.204.7021: Flags [P.], seq 8728323:8728354, ack 4001252470, win 8711, length 31
14:06:29.792587 IP 172.16.112.100.ftp > 108.218.115.195.rev.sfr.net.13944: Flags [P.], seq 8969120:8969151, ack 3058290113, win 8712, length 31
14:16:28.996101 IP 172.16.114.148.ftp > 197.182.91.233.14643: Flags [P.], seq 79166354:79166402, ack 2427015923, win 32736, length 48
14:19:20.693405 IP 172.16.114.50.telnet > 172.16.112.207.28801: Flags [P.], seq 1874919001:1874919027, ack 2042089062, win 31744, length 26
14:19:22.790744 IP 172.16.114.50.telnet > 172.16.112.207.28801: Flags [P.], seq 48:67, ack 21, win 31744, length 19
14:22:50.879615 IP 172.16.114.169.telnet > 196.227.33.189.15372: Flags [P.], seq 4133118361:4133118387, ack 3535745159, win 32736, length 26
14:22:53.054029 IP 172.16.114.169.telnet > 196.227.33.189.15372: Flags [P.], seq 44:70, ack 20, win 32736, length 26
14:22:55.354592 IP 172.16.114.169.telnet > 196.227.33.189.15372: Flags [P.], seq 88:114, ack 41, win 32736, length 26
14:24:33.277491 IP 172.16.114.148.ftp > 197.218.177.69.15753: Flags [P.], seq 3106499376:3106499424, ack 3559380651, win 32736, length 48
14:28:22.126271 IP 172.16.113.50.telnet > 172.16.112.149.13944: Flags [P.], seq 1321088098:1321088115, ack 982569266, win 4096, length 17
14:30:09.646291 IP 172.16.112.100.ftp > 172.16.112.50.32861: Flags [P.], seq 10388995:10389026, ack 1328024352, win 8710, length 31
14:31:32.356456 IP usmatw-css-sw01.gisn.getranet.com.http > 172.16.117.52.16593: Flags [.], seq 1595243496:1595244956, ack 1527891469, win 32736, length 1460
14:31:32.357700 IP usmatw-css-sw01.gisn.getranet.com.http > 172.16.117.52.16593: Flags [.], seq 1460:2920, ack 1, win 32736, length 1460
14:31:32.365915 IP usmatw-css-sw01.gisn.getranet.com.http > 172.16.117.52.16593: Flags [.], seq 2920:4380, ack 1, win 32736, length 1460
14:31:32.367144 IP usmatw-css-sw01.gisn.getranet.com.http > 172.16.117.52.16593: Flags [.], seq 4380:5840, ack 1, win 32736, length 1460
14:31:32.369632 IP usmatw-css-sw01.gisn.getranet.com.http > 172.16.117.52.16593: Flags [.], seq 5840:7300, ack 1, win 32736, length 1460
14:31:32.375672 IP usmatw-css-sw01.gisn.getranet.com.http > 172.16.117.52.16593: Flags [.], seq 7300:8760, ack 1, win 32736, length 1460
14:31:32.376918 IP usmatw-css-sw01.gisn.getranet.com.http > 172.16.117.52.16593: Flags [.], seq 8760:10220, ack 1, win 32736, length 1460
14:31:32.378333 IP usmatw-css-sw01.gisn.getranet.com.http > 172.16.117.52.16593: Flags [.], seq 10220:11680, ack 1, win 32736, length 1460
14:31:32.379380 IP usmatw-css-sw01.gisn.getranet.com.http > 172.16.117.52.16593: Flags [P.], seq 11680:12911, ack 1, win 32736, length 1231
14:39:16.507347 IP 172.16.112.50.ftp > static.kpn.net.1051: Flags [P.], seq 1398905817:1398905847, ack 3347010199, win 8760, length 30
14:40:45.810350 IP 172.16.112.50.telnet > 172.16.113.105.26744: Flags [P.], seq 1410303457:1410303474, ack 1549398673, win 8760, length 17
14:41:47.173655 IP 172.16.112.100.ftp > 172.16.112.194.27764: Flags [P.], seq 11086854:11086885, ack 1179705012, win 8712, length 31
14:43:20.446603 IP 172.16.112.100.ftp > 135.8.60.182.16927: Flags [P.], seq 11180213:11180244, ack 3242986803, win 8715, length 31
14:43:36.351239 IP 172.16.112.100.ftp > 172.16.114.207.28736: Flags [P.], seq 11195979:11196010, ack 2158447759, win 8709, length 31
14:45:25.418603 IP 172.16.112.100.ftp > 172.16.113.204.30915: Flags [P.], seq 11305182:11305213, ack 3125386817, win 8712, length 31
14:48:32.838299 IP 172.16.114.148.ftp > www.aasa.co.za.16994: Flags [P.], seq 2499250357:2499250405, ack 209840729, win 32736, length 48
14:54:04.389703 IP 172.16.112.100.ftp > 172.16.114.169.13445: Flags [P.], seq 11824229:11824260, ack 1068363129, win 8712, length 31
14:55:11.446699 IP 172.16.114.50.ftp > 172.16.113.50.1052: Flags [P.], seq 482987417:482987446, ack 1526784031, win 31744, length 29
14:58:18.902619 IP 172.16.118.80.telnet > 192.5.41.239.8688: Flags [P.], seq 747965409:747965435, ack 3512951542, win 32736, length 26
14:58:28.140737 IP 172.16.118.80.telnet > 192.5.41.239.8689: Flags [P.], seq 3169671238:3169671264, ack 2969432039, win 32736, length 26
14:58:38.699079 IP 172.16.118.80.telnet > 192.5.41.239.8695: Flags [P.], seq 4271559171:4271559197, ack 4094252324, win 32736, length 26
14:58:48.946540 IP 172.16.118.80.telnet > 192.5.41.239.8696: Flags [P.], seq 730283991:730284017, ack 4069918932, win 32736, length 26
14:58:58.944649 IP 172.16.118.80.telnet > 192.5.41.239.8697: Flags [P.], seq 2327828450:2327828476, ack 3225480422, win 32736, length 26
14:59:09.684391 IP 172.16.118.80.telnet > 192.5.41.239.8698: Flags [P.], seq 743801238:743801264, ack 3881342000, win 32736, length 26
14:59:18.450759 IP 172.16.118.80.telnet > 192.5.41.239.8699: Flags [P.], seq 3546357181:3546357207, ack 764570125, win 32736, length 26
14:59:27.201414 IP 172.16.118.80.telnet > 192.5.41.239.8700: Flags [P.], seq 701518922:701518948, ack 446870749, win 32736, length 26
14:59:37.416550 IP 172.16.118.80.telnet > 192.5.41.239.8701: Flags [P.], seq 2734375466:2734375492, ack 3060156062, win 32736, length 26
14:59:47.155212 IP 172.16.118.80.telnet > 192.5.41.239.8702: Flags [P.], seq 3116846713:3116846739, ack 3820389101, win 32736, length 26
14:59:57.043351 IP 172.16.118.80.telnet > 192.5.41.239.8703: Flags [P.], seq 2448670573:2448670599, ack 1251554665, win 32736, length 26
15:00:06.303274 IP 172.16.118.80.telnet > 192.5.41.239.8704: Flags [P.], seq 2628981811:2628981837, ack 2726876965, win 32736, length 26
15:00:17.678142 IP 172.16.118.80.telnet > 192.5.41.239.8716: Flags [P.], seq 2072999155:2072999181, ack 1917394810, win 32736, length 26
15:00:28.316166 IP 172.16.118.80.telnet > 192.5.41.239.8717: Flags [P.], seq 50245989:50246015, ack 112485573, win 32736, length 26
15:00:39.064043 IP 172.16.118.80.telnet > 192.5.41.239.8718: Flags [P.], seq 1319554616:1319554642, ack 1631083257, win 32736, length 26
15:00:48.831769 IP 172.16.118.80.telnet > 192.5.41.239.8719: Flags [P.], seq 599711692:599711718, ack 655411196, win 32736, length 26
15:00:59.099772 IP 172.16.118.80.telnet > 192.5.41.239.8720: Flags [P.], seq 1986630729:1986630755, ack 3875780355, win 32736, length 26
15:01:10.347319 IP 172.16.118.80.telnet > 192.5.41.239.8722: Flags [P.], seq 1921042330:1921042356, ack 2839095864, win 32736, length 26
15:01:19.665585 IP 172.16.118.80.telnet > 192.5.41.239.8732: Flags [P.], seq 3888835140:3888835166, ack 3429521521, win 32736, length 26
15:01:30.083485 IP 172.16.118.80.telnet > 192.5.41.239.8734: Flags [P.], seq 2574941004:2574941030, ack 1819830964, win 32736, length 26
15:01:46.604511 IP 172.16.112.100.ftp > 196.227.33.189.17461: Flags [P.], seq 12286401:12286432, ack 3181865948, win 8713, length 31
15:02:45.442413 IP 172.16.112.100.ftp > 135.13.216.191.18418: Flags [P.], seq 12345385:12345416, ack 2927090774, win 8713, length 31
15:02:52.191080 IP 172.16.112.100.ftp > 135.8.60.182.18481: Flags [P.], seq 12352151:12352182, ack 4100228196, win 8713, length 31
15:03:01.239561 IP 172.16.112.100.ftp > www.aasa.co.za.18491: Flags [P.], seq 12361166:12361197, ack 1756936528, win 8713, length 31
15:05:30.062595 IP 172.16.114.50.ftp > 172.16.113.50.1076: Flags [P.], seq 1759998553:1759998582, ack 1605824031, win 31744, length 29
15:07:44.072578 IP 172.16.112.50.ftp > 172.16.113.50.1084: Flags [P.], seq 1613750099:1613750128, ack 1622656031, win 8760, length 29
15:10:14.516514 IP 172.16.114.148.ftp > 197.218.177.69.18677: Flags [P.], seq 2091872876:2091872924, ack 1741300948, win 32736, length 48
15:12:23.539802 IP 172.16.114.148.ftp > 196.227.33.189.18851: Flags [P.], seq 1703452449:1703452497, ack 2237630021, win 32736, length 48
15:13:56.598816 IP 172.16.112.50.telnet > 172.16.114.148.5285: Flags [P.], seq 1661610943:1661610960, ack 18757526, win 8760, length 17
15:14:20.152532 IP 172.16.113.50.telnet > 172.16.114.207.6228: Flags [P.], seq 1674368096:1674368113, ack 1386261423, win 4096, length 17
15:18:33.635800 IP 172.16.114.50.telnet > 172.16.114.168.10795: Flags [P.], seq 1263562575:1263562594, ack 1048554782, win 31744, length 19
15:28:03.135953 IP 172.16.112.50.ftp > 172.16.113.50.1095: Flags [P.], seq 1769451083:1769451111, ack 1779328030, win 8760, length 28
15:35:14.135801 IP 172.16.112.100.ftp > 172.16.114.50.1140: Flags [P.], seq 14294385:14294416, ack 679160804, win 8714, length 31
15:49:26.302190 IP 172.16.112.100.ftp > 172.16.114.207.4527: Flags [P.], seq 156635:156666, ack 1033613938, win 8709, length 31
15:49:46.673901 IP 172.16.112.100.ftp > 172.16.113.105.4612: Flags [P.], seq 177041:177072, ack 1435689441, win 8710, length 31
15:54:15.443884 IP 172.16.112.50.ftp > 172.16.113.50.1104: Flags [P.], seq 1968170506:1968170534, ack 1979456030, win 8760, length 28
15:59:53.523533 IP 194.27.251.21.22642 > 172.16.112.100.smtp: Flags [.], seq 3080312565:3080314025, ack 780456, win 32120, length 1460
16:03:37.173626 IP 172.16.114.148.ftp > 197.182.91.233.23386: Flags [P.], seq 3684660357:3684660405, ack 871539740, win 32736, length 48
16:10:49.376090 IP 172.16.114.148.ftp > 196.227.33.189.24616: Flags [P.], seq 129978539:129978587, ack 2149132674, win 32736, length 48
16:12:15.228695 IP 172.16.113.50.ftp > 172.16.112.50.32926: Flags [P.], seq 2118144077:2118144105, ack 2106650392, win 4096, length 28
16:17:40.544628 IP 172.16.114.148.ftp > 197.182.91.233.24868: Flags [P.], seq 176608361:176608409, ack 1246269751, win 32736, length 48
16:18:34.914175 IP 172.16.112.100.ftp > 172.16.113.105.14354: Flags [P.], seq 1905495:1905526, ack 1518002993, win 8708, length 31
16:27:30.649039 IP 172.16.113.204.16997 > 192.168.1.20.ircd: Flags [P.], seq 1576871413:1576871427, ack 3285559768, win 32120, length 14
16:37:38.562865 IP 172.16.114.148.ftp > www.aasa.co.za.28766: Flags [P.], seq 2221193194:2221193242, ack 2056460933, win 32736, length 48
16:37:53.965404 IP 172.16.112.100.ftp > 197.182.91.233.28780: Flags [P.], seq 3064963:3064994, ack 130020811, win 8715, length 31
16:38:25.185445 IP 172.16.112.50.ftp > 172.16.114.50.2460: Flags [P.], seq 2305383392:2305383418, ack 3144261309, win 8760, length 26
16:47:30.118139 IP 172.16.113.50.ftp > 172.16.112.50.32955: Flags [P.], seq 241600076:241600104, ack 2374431948, win 4096, length 28
16:59:37.119309 IP 172.16.114.148.ftp > 197.218.177.69.1202: Flags [P.], seq 877084798:877084846, ack 519180015, win 32736, length 48
17:01:42.939053 IP 172.16.112.100.ftp > www.aasa.co.za.1600: Flags [P.], seq 4494120:4494151, ack 2526879775, win 8712, length 31
17:04:39.123777 IP 172.16.112.100.ftp > 194.27.251.21.2131: Flags [P.], seq 4670354:4670385, ack 4249468081, win 8713, length 31
17:05:21.388491 IP 172.16.114.148.ftp > www.a-be.org.2317: Flags [P.], seq 670304202:670304250, ack 2495533694, win 32736, length 48
17:06:06.640900 IP 172.16.112.100.ftp > 172.16.113.105.12387: Flags [P.], seq 4757776:4757807, ack 238956009, win 8709, length 31
17:10:26.316427 IP 172.16.112.100.ftp > 172.16.112.207.16476: Flags [P.], seq 5017620:5017651, ack 867849468, win 8712, length 31
17:27:59.686107 IP 172.16.113.50.ftp > 172.16.112.50.32987: Flags [P.], seq 553408074:553408100, ack 2682844073, win 4096, length 26
17:30:15.620661 IP 172.16.114.169.ftp > 104-215-169-152.fibertel.com.ar.1492: Flags [P.], seq 1400841448:1400841476, ack 3215273739, win 32736, length 28
17:36:35.869800 IP 172.16.114.169.telnet > 196.227.33.189.4267: Flags [P.], seq 883009074:883009100, ack 2194507342, win 32736, length 26
17:45:06.466900 IP 172.16.112.100.ftp > 196.227.33.189.5270: Flags [P.], seq 7097776:7097807, ack 2092936327, win 8713, length 31
17:49:36.693873 IP 172.16.114.148.telnet > 197.218.177.69.5715: Flags [P.], seq 491263828:491263854, ack 4286592564, win 32736, length 26
17:57:25.670651 IP 172.16.112.100.ftp > 172.16.114.169.17519: Flags [P.], seq 7837416:7837447, ack 1946102349, win 8712, length 31
18:07:26.325661 IP 172.16.112.100.ftp > 172.16.114.168.28717: Flags [P.], seq 8438229:8438260, ack 728499535, win 8711, length 31
18:10:21.793408 IP 172.16.114.50.ftp > 172.16.113.50.1140: Flags [P.], seq 723902338:723902367, ack 873280030, win 31744, length 29
18:12:36.302070 IP 172.16.114.50.ftp > 172.16.113.50.1148: Flags [P.], seq 1957909168:1957909197, ack 891200030, win 31744, length 29
18:14:14.332922 IP 172.16.112.50.ftp > 172.16.113.50.1157: Flags [P.], seq 3032000349:3032000378, ack 906304030, win 8760, length 29
18:14:59.259681 IP 172.16.112.100.ftp > 196.227.33.189.6905: Flags [P.], seq 8891276:8891307, ack 2282779178, win 8713, length 31
18:15:43.610521 IP 172.16.112.100.ftp > 194.27.251.21.7020: Flags [P.], seq 8935573:8935604, ack 2176459023, win 8713, length 31
18:15:48.139406 IP 172.16.112.100.ftp > 197.218.177.69.7019: Flags [P.], seq 8940151:8940182, ack 2828211273, win 8714, length 31
18:17:04.243151 IP 172.16.114.148.ftp > 197.182.91.233.7768: Flags [P.], seq 2859825417:2859825465, ack 589509218, win 32736, length 48
18:18:28.820855 IP 172.16.114.50.telnet > 172.16.113.84.3192: Flags [P.], seq 4037403859:4037403878, ack 1324553273, win 31744, length 19
18:20:04.461300 IP 172.16.112.100.ftp > static.kpn.net.8276: Flags [P.], seq 9196510:9196541, ack 1211103885, win 8713, length 31
18:29:20.966827 IP 172.16.112.50.telnet > static.kpn.net.8449: Flags [P.], seq 3147319447:3147319464, ack 2393238565, win 8760, length 17
18:29:27.274059 IP 172.16.112.50.telnet > static.kpn.net.8449: Flags [P.], seq 45:62, ack 20, win 8760, length 17
18:29:33.503564 IP 172.16.112.50.telnet > static.kpn.net.8449: Flags [P.], seq 90:107, ack 39, win 8760, length 17
18:30:50.924066 IP 172.16.112.100.ftp > 172.16.114.207.7243: Flags [P.], seq 9843041:9843072, ack 136498634, win 8710, length 31
18:35:46.674838 IP 172.16.114.50.ftp > 172.16.112.50.33015: Flags [P.], seq 3814970365:3814970394, ack 3196871153, win 31744, length 29
18:46:10.047838 IP 172.16.117.103.1106 > 172.16.114.50.imap2: Flags [P.], seq 3819246564:3819247860, ack 2788832733, win 32120, length 1296
18:46:10.047838 IP 172.16.117.103.1106 > 172.16.114.50.imap2: Flags [P.], seq 0:1296, ack 1, win 32120, length 1296
18:46:10.047838 IP 172.16.117.103.1106 > 172.16.114.50.imap2: Flags [P.], seq 0:1296, ack 1, win 32120, length 1296
18:46:10.047838 IP 172.16.117.103.1106 > 172.16.114.50.imap2: Flags [P.], seq 0:1296, ack 1, win 32120, length 1296
18:46:35.567487 IP 172.16.112.100.ftp > 172.16.114.207.16504: Flags [P.], seq 10787698:10787729, ack 1792026281, win 8711, length 31
18:49:10.613638 IP 172.16.114.50.ftp > 172.16.112.50.33040: Flags [P.], seq 1717089162:1717089191, ack 3300057307, win 31744, length 29
18:53:27.314496 IP 172.16.112.50.telnet > 172.16.112.194.19234: Flags [P.], seq 3332016673:3332016690, ack 1697514321, win 8760, length 17
19:00:16.960797 IP 172.16.114.148.ftp > 108.218.115.195.rev.sfr.net.12260: Flags [P.], seq 285677144:285677192, ack 2400816391, win 32736, length 48
19:03:16.225545 IP 172.16.114.148.ftp > static.kpn.net.12412: Flags [P.], seq 992525766:992525814, ack 3166765914, win 32736, length 48
19:03:39.910617 IP 172.16.113.50.telnet > 172.16.114.169.22480: Flags [P.], seq 1287104095:1287104112, ack 180179085, win 4096, length 17
19:06:54.264995 IP 172.16.112.100.ftp > 172.16.114.169.23576: Flags [P.], seq 12006041:12006072, ack 3048458834, win 8711, length 31
19:11:21.688034 IP 172.16.114.148.ftp > 135.8.60.182.14356: Flags [P.], seq 757631839:757631887, ack 1035643367, win 32736, length 48
19:13:39.163336 IP 172.16.114.50.ftp > 172.16.112.50.33056: Flags [P.], seq 3406643359:3406643387, ack 3485411747, win 31744, length 28
19:20:57.896793 IP 172.16.114.168.25654 > 192.168.1.20.ircd: Flags [P.], seq 3861218846:3861218858, ack 1791863356, win 32120, length 12
19:28:22.441137 IP 172.16.113.105.27398 > 192.168.1.20.ircd: Flags [P.], seq 232533752:232533766, ack 2674262709, win 32120, length 14
19:29:42.263331 IP 172.16.114.168.telnet > 197.182.91.233.16525: Flags [P.], seq 1360589101:1360589127, ack 2543742372, win 32736, length 26
19:29:44.202632 IP 172.16.114.168.telnet > 197.182.91.233.16525: Flags [P.], seq 41:67, ack 19, win 32736, length 26
19:35:39.985806 IP 172.16.114.148.ftp > 135.13.216.191.16742: Flags [P.], seq 3055311823:3055311871, ack 1477176351, win 32736, length 48
19:38:47.708021 IP 172.16.112.100.ftp > 108.218.115.195.rev.sfr.net.16972: Flags [P.], seq 13916823:13916854, ack 954420061, win 8713, length 31
19:47:24.751539 IP 172.16.112.149.telnet > 135.13.216.191.18486: Flags [P.], seq 1641751951:1641751977, ack 1841995670, win 32736, length 26
19:50:17.256051 IP 172.16.112.50.telnet > 172.16.113.84.32021: Flags [P.], seq 3764544290:3764544307, ack 917605896, win 8760, length 17
19:51:02.991981 IP 172.16.114.148.ftp > 135.13.216.191.18677: Flags [P.], seq 319405921:319405969, ack 1045047536, win 32736, length 48
19:52:34.779958 IP 172.16.112.100.ftp > www.aasa.co.za.19686: Flags [P.], seq 14747213:14747244, ack 4010305836, win 8711, length 31
19:52:42.626810 IP 172.16.112.100.ftp > 196.227.33.189.19802: Flags [P.], seq 14755588:14755619, ack 3942758366, win 8713, length 31
20:13:11.397656 IP 172.16.112.100.ftp > 172.16.112.194.8384: Flags [P.], seq 15984135:15984166, ack 2491986194, win 8710, length 31
20:13:29.555941 IP 172.16.112.100.ftp > www.a-be.org.21314: Flags [P.], seq 16002495:16002526, ack 2794956739, win 8716, length 31
20:16:19.880119 IP 172.16.114.50.telnet > 197.218.177.69.22322: Flags [P.], seq 583266883:583266902, ack 126740557, win 31744, length 19
20:21:12.397213 IP 172.16.112.100.ftp > 172.16.113.105.10968: Flags [P.], seq 16465073:16465104, ack 454027894, win 8708, length 31
20:25:07.343716 IP 172.16.114.148.ftp > 108.218.115.195.rev.sfr.net.22831: Flags [P.], seq 1636952337:1636952385, ack 2296341301, win 32736, length 48
20:26:00.338654 IP 172.16.112.100.ftp > static.kpn.net.22959: Flags [P.], seq 16753416:16753447, ack 3609695689, win 8715, length 31
20:28:45.326686 IP 172.16.113.50.ftp > 172.16.114.50.4325: Flags [P.], seq 1941312074:1941312100, ack 3488769756, win 4096, length 26
20:32:16.420306 IP 172.16.114.50.telnet > 172.16.118.10.kpop: Flags [P.], seq 958966747:958966773, ack 1529271404, win 31744, length 26
20:32:27.531316 IP 172.16.114.50.telnet > 172.16.118.10.1111: Flags [P.], seq 1309511934:1309511953, ack 3722297472, win 31744, length 19
20:32:38.744078 IP 172.16.114.50.telnet > 172.16.118.10.1112: Flags [P.], seq 3224416193:3224416219, ack 2525655165, win 31744, length 26
20:32:48.415510 IP 172.16.114.50.telnet > 172.16.118.10.1113: Flags [P.], seq 1479700481:1479700500, ack 301548245, win 31744, length 19
20:32:59.650631 IP 172.16.114.50.telnet > 172.16.118.10.1114: Flags [P.], seq 83742550:83742569, ack 4174387268, win 31744, length 19
20:33:11.418692 IP 172.16.114.50.telnet > 172.16.118.10.1115: Flags [P.], seq 1190057789:1190057808, ack 3947170933, win 31744, length 19
20:33:21.242292 IP 172.16.114.50.telnet > 172.16.118.10.1116: Flags [P.], seq 1740341778:1740341804, ack 1695051664, win 31744, length 26
20:33:32.059270 IP 172.16.114.50.telnet > 172.16.118.10.1118: Flags [P.], seq 862626331:862626357, ack 661575264, win 31744, length 26
20:33:42.977814 IP 172.16.114.50.telnet > 172.16.118.10.1169: Flags [P.], seq 628656758:628656777, ack 2112159836, win 31744, length 19
20:33:54.652662 IP 172.16.114.50.telnet > 172.16.118.10.1170: Flags [P.], seq 2088759677:2088759696, ack 2999816165, win 31744, length 19
20:34:07.519431 IP 172.16.114.50.telnet > 172.16.118.10.1171: Flags [P.], seq 99499480:99499506, ack 3480131238, win 31744, length 26
20:34:20.155957 IP 172.16.114.50.telnet > 172.16.118.10.1172: Flags [P.], seq 895388841:895388867, ack 3343277475, win 31744, length 26
20:34:30.756456 IP 172.16.114.50.telnet > 172.16.118.10.1173: Flags [P.], seq 2875728840:2875728859, ack 3360949319, win 31744, length 19
20:34:41.818244 IP 172.16.114.50.telnet > 172.16.118.10.1174: Flags [P.], seq 748316447:748316466, ack 1780854583, win 31744, length 19
20:34:54.012766 IP 172.16.114.50.telnet > 172.16.118.10.1238: Flags [P.], seq 3286710804:3286710823, ack 230345609, win 31744, length 19
20:35:07.526688 IP 172.16.114.50.telnet > 172.16.118.10.1301: Flags [P.], seq 3784527398:3784527417, ack 3240165415, win 31744, length 19
20:35:19.161568 IP 172.16.114.50.telnet > 172.16.118.10.1302: Flags [P.], seq 3556475317:3556475336, ack 1665507773, win 31744, length 19
20:35:30.983074 IP 172.16.114.50.telnet > 172.16.118.10.1365: Flags [P.], seq 3596796018:3596796037, ack 4155014846, win 31744, length 19
20:35:42.537826 IP 172.16.114.50.telnet > 172.16.118.10.1366: Flags [P.], seq 4018787026:4018787045, ack 3100000949, win 31744, length 19
20:35:54.639611 IP 172.16.114.50.telnet > 172.16.118.10.1367: Flags [P.], seq 1563777501:1563777527, ack 7860677, win 31744, length 26
20:36:05.486619 IP 172.16.114.50.telnet > 172.16.118.10.1368: Flags [P.], seq 2649165568:2649165594, ack 3518889704, win 31744, length 26
20:36:17.562866 IP 172.16.114.50.telnet > 172.16.118.10.1369: Flags [P.], seq 2044102747:2044102766, ack 2387652407, win 31744, length 19
