12:01:25.415427 IP 172.16.112.100.ftp > 196.227.33.189.1024: Flags [P.], seq 1474901:1474932, ack 4034529068, win 8713, length 31
15:18:13.243189 IP 172.16.112.100.ftp > 172.16.113.204.32701: Flags [P.], seq 4110338:4110369, ack 256386997, win 8712, length 31
15:18:15.372680 IP 172.16.112.100.ftp > 172.16.113.204.32772: Flags [P.], seq 4112463:4112494, ack 3153297862, win 8712, length 31
15:18:52.756994 IP 172.16.112.100.ftp > 172.16.114.50.1777: Flags [P.], seq 4149682:4149713, ack 1655315710, win 8711, length 31
15:20:58.884046 IP 172.16.113.50.ftp > 172.16.112.50.32926: Flags [P.], seq 1728256078:1728256107, ack 1722269166, win 4096, length 29
15:23:23.112222 IP 172.16.112.50.telnet > 172.16.112.194.1523: Flags [P.], seq 1740930271:1740930288, ack 2442238605, win 8760, length 17
15:25:08.451326 IP 172.16.112.100.ftp > 172.16.113.105.1925: Flags [P.], seq 124510:124541, ack 1867098440, win 8708, length 31
15:28:17.742292 IP 172.16.112.100.ftp > 172.16.114.148.2307: Flags [P.], seq 313682:313713, ack 3150988549, win 8711, length 31
15:30:32.215123 IP 172.16.112.100.ftp > www.aasa.co.za.18515: Flags [P.], seq 448385:448416, ack 3878379319, win 8710, length 31
15:32:43.193806 IP 172.16.114.148.ftp > 197.182.91.233.18978: Flags [P.], seq 1720251949:1720251997, ack 1080036489, win 32736, length 48
15:40:33.269968 IP 172.16.114.50.ftp > 172.16.112.50.32965: Flags [P.], seq 928804865:928804894, ack 1874648626, win 31744, length 29
15:41:43.179189 IP 172.16.112.100.ftp > 196.227.33.189.19910: Flags [P.], seq 1119370:1119401, ack 2452631170, win 8715, length 31
15:45:22.707783 IP 172.16.112.100.ftp > 206.48.44.50.4675: Flags [P.], seq 1336541:1336572, ack 3397261867, win 8715, length 31
15:45:54.699589 IP 172.16.114.168.telnet > 197.182.91.233.20578: Flags [P.], seq 3597304134:3597304160, ack 4199034097, win 32736, length 26
15:49:42.026789 IP 172.16.112.100.ftp > 172.16.114.168.bprd: Flags [P.], seq 1598526:1598557, ack 2292196931, win 8714, length 31
15:50:29.722908 IP 172.16.112.100.ftp > static.kpn.net.20770: Flags [P.], seq 1646198:1646229, ack 805982082, win 8712, length 31
15:50:38.456528 IP 172.16.114.148.ftp > 196.227.33.189.20840: Flags [P.], seq 858604656:858604704, ack 4050418472, win 32736, length 48
15:58:32.848189 IP 172.16.115.234.1283 > 172.16.112.100.netbios-ssn: Flags [P.], seq 15731697:15731873, ack 2130316, win 8663, length 176 NBT Session Packet: Session Message
15:58:52.391287 IP 172.16.112.100.ftp > www.a-be.org.22564: Flags [P.], seq 2149026:2149057, ack 2242354865, win 8715, length 31
16:05:44.403631 IP 172.16.113.50.telnet > 172.16.112.194.26793: Flags [P.], seq 2073280097:2073280114, ack 2862334417, win 4096, length 17
16:06:20.048253 IP 172.16.112.100.ftp > 197.182.91.233.23716: Flags [P.], seq 2596323:2596354, ack 1609589307, win 8713, length 31
16:06:23.556823 IP 172.16.114.148.ftp > static.kpn.net.23715: Flags [P.], seq 4108825755:4108825803, ack 1860781742, win 32736, length 48
16:06:53.336731 IP 172.16.114.148.ftp > www.aasa.co.za.24290: Flags [P.], seq 2956099801:2956099849, ack 3965975469, win 32736, length 48
16:15:53.033895 IP 172.16.114.148.ftp > 206.48.44.50.4694: Flags [P.], seq 2245268930:2245268978, ack 393096845, win 32736, length 48
16:18:08.257813 IP 172.16.112.100.ftp > 172.16.114.207.18857: Flags [P.], seq 3304979:3305010, ack 837897998, win 8711, length 31
16:20:21.805977 IP 172.16.114.148.ftp > 197.218.177.69.25689: Flags [P.], seq 1333195187:1333195235, ack 2108354518, win 32736, length 48
16:22:01.807309 IP 172.16.114.50.telnet > 172.16.113.204.26748: Flags [P.], seq 3555584914:3555584933, ack 3680425234, win 31744, length 19
16:22:04.016640 IP 172.16.114.50.telnet > 172.16.113.204.26748: Flags [P.], seq 48:67, ack 21, win 31744, length 19
16:24:53.884875 IP 172.16.112.50.telnet > 172.16.114.168.1317: Flags [P.], seq 2213095865:2213095882, ack 4172125112, win 8760, length 17
16:25:16.117615 IP 172.16.112.100.ftp > 172.16.114.169.2362: Flags [P.], seq 3732948:3732979, ack 2356811981, win 8711, length 31
16:31:11.773743 IP 172.16.114.148.ftp > www.a-be.org.27068: Flags [P.], seq 4113558728:4113558776, ack 3637373499, win 32736, length 48
16:32:25.907504 IP 172.16.114.148.ftp > 108.218.115.195.rev.sfr.net.27127: Flags [P.], seq 905409628:905409676, ack 922919052, win 32736, length 48
16:37:01.005938 IP 172.16.112.100.ftp > 108.218.115.195.rev.sfr.net.27309: Flags [P.], seq 4437557:4437588, ack 2757570219, win 8712, length 31
16:37:47.112551 IP 172.16.112.100.ftp > 135.8.60.182.27594: Flags [P.], seq 4484041:4484072, ack 2192961686, win 8713, length 31
16:41:40.257774 IP 172.16.114.148.ftp > 196.227.33.189.27969: Flags [P.], seq 521569430:521569478, ack 1817151823, win 32736, length 48
16:44:52.189876 IP 172.16.112.100.ftp > 135.13.216.191.28548: Flags [P.], seq 4908276:4908307, ack 1956214351, win 8713, length 31
16:45:27.339268 IP 172.16.112.100.ftp > 172.16.113.84.30730: Flags [P.], seq 4944370:4944401, ack 1871804246, win 8711, length 31
16:47:19.645393 IP 172.16.112.100.ftp > 135.13.216.191.28745: Flags [P.], seq 5056651:5056682, ack 105103809, win 8716, length 31
17:07:32.323018 IP 172.16.114.148.ftp > 135.8.60.182.28832: Flags [P.], seq 1371079061:1371079109, ack 879547796, win 32736, length 48
17:11:19.731520 IP 172.16.114.50.ftp > 172.16.112.50.33061: Flags [P.], seq 871223093:871223123, ack 2567428338, win 31744, length 30
17:11:35.974866 IP 172.16.112.100.ftp > 172.16.114.148.2141: Flags [P.], seq 6511995:6512026, ack 2879499654, win 8711, length 31
17:19:15.408793 IP 172.16.112.100.ftp > 172.16.114.207.12444: Flags [P.], seq 6972463:6972494, ack 2682581997, win 8709, length 31
17:28:12.010512 IP 172.16.112.100.ftp > 197.218.177.69.30772: Flags [P.], seq 7509557:7509588, ack 2229444017, win 8714, length 31
17:28:38.299489 IP 172.16.114.148.ftp > 135.13.216.191.30827: Flags [P.], seq 3168933283:3168933331, ack 1668839838, win 32736, length 48
17:31:47.038170 IP 172.16.112.50.telnet > 172.16.112.194.27809: Flags [P.], seq 2723477022:2723477039, ack 3590338844, win 8760, length 17
17:37:57.976924 IP 172.16.113.50.telnet > 172.16.114.207.1378: Flags [P.], seq 636032096:636032113, ack 727982782, win 4096, length 17
17:42:29.892316 IP 172.16.114.148.ftp > www.aasa.co.za.31783: Flags [P.], seq 543385327:543385375, ack 2106639796, win 32736, length 48
17:47:56.469809 IP 172.16.112.100.ftp > 172.16.114.168.5664: Flags [P.], seq 8694026:8694057, ack 2895847929, win 8710, length 31
18:00:41.466546 IP 172.16.112.100.ftp > 172.16.112.149.9219: Flags [P.], seq 9459213:9459244, ack 1578055852, win 8710, length 31
18:00:48.571660 IP 172.16.112.100.ftp > 197.182.91.233.3268: Flags [P.], seq 9466354:9466385, ack 2331027631, win 8714, length 31
18:03:56.288497 IP 172.16.112.50.telnet > 172.16.112.194.12878: Flags [P.], seq 2966374015:2966374032, ack 3624779509, win 8760, length 17
18:15:00.495972 IP 172.16.114.50.ftp > 172.16.113.50.1134: Flags [P.], seq 3382628244:3382628273, ack 921344030, win 31744, length 29
18:16:17.480098 IP 172.16.112.100.ftp > 172.16.114.169.25698: Flags [P.], seq 10395448:10395479, ack 1481457001, win 8713, length 31
18:16:43.598240 IP 172.16.112.50.ftp > 172.16.113.50.1142: Flags [P.], seq 3064563153:3064563182, ack 934272030, win 8760, length 29
18:17:30.927285 IP 172.16.112.50.ftp > 206.48.44.50.4711: Flags [P.], seq 3070687650:3070687679, ack 3799927873, win 8760, length 29
18:18:56.612397 IP 172.16.114.148.ftp > static.kpn.net.4805: Flags [P.], seq 1095055149:1095055197, ack 977491278, win 32736, length 48
18:25:07.117135 IP 172.16.112.50.ftp > 172.16.113.50.1154: Flags [P.], seq 3129543414:3129543443, ack 998272030, win 8760, length 29
18:26:45.329841 IP 172.16.112.50.ftp > 172.16.113.50.1164: Flags [P.], seq 3142807798:3142807827, ack 1011392030, win 8760, length 29
18:27:45.188741 IP 172.16.112.100.ftp > 135.8.60.182.6226: Flags [P.], seq 11082635:11082666, ack 1756604139, win 8713, length 31
18:36:13.825107 IP 172.16.112.100.ftp > 172.16.114.148.17892: Flags [P.], seq 11590682:11590713, ack 2704087431, win 8711, length 31
18:37:45.489643 IP 172.16.112.100.ftp > 172.16.112.149.21840: Flags [P.], seq 11683463:11683494, ack 1889486416, win 8711, length 31
18:43:23.272887 IP 172.16.114.148.ftp > static.kpn.net.8386: Flags [P.], seq 1704495973:1704496021, ack 2629626517, win 32736, length 48
18:47:40.067579 IP 172.16.113.50.1024 > 172.16.0.0.sunrpc: UDP, length 84
18:47:49.648927 IP 172.16.114.169.telnet > 196.227.33.189.9262: Flags [P.], seq 1868269267:1868269293, ack 1136055480, win 32736, length 26
18:48:49.714852 IP 172.16.113.50.1041 > 172.16.255.255.sunrpc: UDP, length 100
18:50:58.870281 IP 172.16.112.100.ftp > 197.182.91.233.10259: Flags [P.], seq 12477088:12477119, ack 2596139513, win 8714, length 31
18:53:13.406267 IP 172.16.112.100.ftp > 172.16.113.204.18987: Flags [P.], seq 12611682:12611713, ack 3591825177, win 8710, length 31
18:53:42.947118 IP 172.16.112.100.ftp > 135.13.216.191.11396: Flags [P.], seq 12641151:12641182, ack 3543408681, win 8714, length 31
18:56:59.132597 IP 172.16.114.148.ftp > 197.182.91.233.12379: Flags [P.], seq 3479881276:3479881324, ack 1250333143, win 32736, length 48
19:03:43.770392 IP 172.16.112.100.ftp > www.aasa.co.za.13087: Flags [P.], seq 13241760:13241791, ack 1182253716, win 8710, length 31
19:07:21.351241 IP 172.16.114.148.ftp > 196.227.33.189.13902: Flags [P.], seq 3356124457:3356124505, ack 666515501, win 32736, length 48
19:09:13.187718 IP 172.16.112.100.ftp > 135.13.216.191.14364: Flags [P.], seq 13570276:13570307, ack 2998251940, win 8715, length 31
19:09:39.758321 IP 172.16.114.148.ftp > www.a-be.org.14418: Flags [P.], seq 3807915062:3807915110, ack 3968193818, win 32736, length 48
19:11:19.597238 IP 172.16.114.168.21723 > 192.168.1.20.ircd: Flags [P.], seq 2175441635:2175441647, ack 490723296, win 32120, length 12
19:14:48.416938 IP 172.16.112.50.telnet > 197.182.91.233.14721: Flags [P.], seq 3512126280:3512126297, ack 306715047, win 8760, length 17
19:14:54.694420 IP 172.16.112.50.telnet > 197.182.91.233.14721: Flags [P.], seq 45:62, ack 22, win 8760, length 17
19:19:26.081725 IP 172.16.112.100.ftp > 194.27.251.21.15186: Flags [P.], seq 14184745:14184776, ack 2439153417, win 8717, length 31
19:20:02.420098 IP 172.16.113.50.telnet > 197.218.177.69.15401: Flags [P.], seq 248960088:248960105, ack 2280939830, win 4096, length 17
19:21:24.598195 IP 172.16.113.105.5270 > 192.168.1.20.ircd: Flags [P.], seq 1569284015:1569284029, ack 1930271674, win 32120, length 14
19:41:09.668805 IP 172.16.114.148.ftp > 194.27.251.21.16733: Flags [P.], seq 715581454:715581502, ack 3476818658, win 32736, length 48
19:48:04.742850 IP 172.16.112.100.ftp > 172.16.114.50.4984: Flags [P.], seq 15903541:15903572, ack 1940613278, win 8711, length 31
19:58:04.808724 IP 172.16.112.100.ftp > 194.27.251.21.19082: Flags [P.], seq 16503916:16503947, ack 721382299, win 8714, length 31
20:03:29.376753 IP 172.16.114.148.ftp > 194.27.251.21.20481: Flags [P.], seq 851086239:851086287, ack 568165582, win 32736, length 48
20:03:51.934850 IP 172.16.114.50.ftp > 172.16.112.50.33258: Flags [P.], seq 2026989039:2026989069, ack 3891687285, win 31744, length 30
20:06:46.333672 IP 172.16.112.100.ftp > 194.27.251.21.20548: Flags [P.], seq 17025557:17025588, ack 1584144858, win 8713, length 31
20:07:54.439871 IP 172.16.112.100.ftp > static.kpn.net.20586: Flags [P.], seq 17093510:17093541, ack 3597581621, win 8714, length 31
20:09:12.887264 IP 172.16.112.100.ftp > 172.16.112.50.33284: Flags [P.], seq 17171932:17171963, ack 3935003049, win 8710, length 31
20:09:35.458768 IP 172.16.112.50.telnet > www.a-be.org.20944: Flags [P.], seq 3938213574:3938213591, ack 1674861352, win 8760, length 17
20:14:02.499980 IP 172.16.112.50.telnet > 172.16.112.207.x11-5: Flags [P.], seq 3977231878:3977231895, ack 4202648402, win 8760, length 17
20:14:08.852297 IP 172.16.112.50.telnet > 172.16.112.207.x11-5: Flags [P.], seq 43:60, ack 18, win 8760, length 17
20:16:10.749865 IP 172.16.112.100.ftp > 135.13.216.191.21157: Flags [P.], seq 17590010:17590041, ack 1942392174, win 8714, length 31
20:20:52.003447 IP 172.16.112.50.telnet > 172.16.112.149.21203: Flags [P.], seq 4032248924:4032248941, ack 1304106006, win 8760, length 17
20:23:33.449146 IP 172.16.112.50.telnet > 172.16.112.194.25680: Flags [P.], seq 4052798390:4052798407, ack 1166715896, win 8760, length 17
20:23:39.800782 IP 172.16.112.50.telnet > 172.16.112.194.25680: Flags [P.], seq 43:60, ack 16, win 8760, length 17
20:27:37.600446 IP 172.16.114.50.telnet > 172.16.114.148.4312: Flags [P.], seq 3884932228:3884932247, ack 3865233656, win 31744, length 19
20:34:37.237501 IP 172.16.112.100.ftp > www.aasa.co.za.23906: Flags [P.], seq 18696213:18696244, ack 2244792980, win 8710, length 31
20:37:28.294068 IP 172.16.112.100.ftp > 172.16.114.168.23656: Flags [P.], seq 18867823:18867854, ack 885597193, win 8711, length 31
20:37:34.449082 IP 172.16.112.50.telnet > www.aasa.co.za.24605: Flags [P.], seq 4159064196:4159064213, ack 744692137, win 8760, length 17
20:37:40.551531 IP 172.16.112.100.ftp > 172.16.114.148.24274: Flags [P.], seq 18880088:18880119, ack 2568517000, win 8711, length 31
20:40:32.844993 IP 172.16.112.100.ftp > static.kpn.net.24626: Flags [P.], seq 19052401:19052432, ack 3656722976, win 8711, length 31
20:41:04.099711 IP 172.16.112.100.ftp > 172.16.114.148.31009: Flags [P.], seq 19083682:19083713, ack 1734687346, win 8714, length 31
20:41:39.165261 IP 172.16.112.50.telnet > 172.16.112.149.1028: Flags [P.], seq 4189978553:4189978570, ack 2268760518, win 8760, length 17
20:41:48.107648 IP 172.16.112.100.ftp > 172.16.112.50.33356: Flags [P.], seq 19127479:19127510, ack 4191840458, win 8710, length 31
21:07:47.584710 IP 172.16.114.148.ftp > 108.218.115.195.rev.sfr.net.26751: Flags [P.], seq 603624476:603624524, ack 331562997, win 32736, length 48
21:09:17.405327 IP 172.16.112.100.ftp > 172.16.114.168.26925: Flags [P.], seq 20776698:20776729, ack 204974515, win 8710, length 31
21:13:04.880599 IP 172.16.112.100.ftp > 172.16.113.50.1063: Flags [P.], seq 21004588:21004619, ack 1116992049, win 8713, length 31
21:19:18.789474 IP 172.16.114.50.telnet > 172.16.112.207.20516: Flags [P.], seq 1937194903:1937194922, ack 3477054248, win 31744, length 19
21:19:28.498144 IP 172.16.112.100.ftp > 172.16.114.50.6030: Flags [P.], seq 21388229:21388260, ack 1127120871, win 8711, length 31
21:27:16.281203 IP 152.204.242.193.1941 > 172.16.114.50.smtp: Flags [.], seq 3161858550:3161860010, ack 1071145028, win 32120, length 1460
21:32:47.358837 IP 172.16.114.148.ftp > 108.218.115.195.rev.sfr.net.28754: Flags [P.], seq 4210759261:4210759309, ack 4237634890, win 32736, length 48
21:47:13.938276 IP 172.16.113.105.ftp > 202-72-1-77.static.hk.net.2059: Flags [P.], seq 4133705885:4133705912, ack 1509720771, win 32736, length 27
21:47:44.720979 IP 172.16.113.50.ftp > 172.16.114.50.6842: Flags [P.], seq 1384064077:1384064105, ack 1287836282, win 4096, length 28
21:48:00.270463 IP 172.16.113.50.telnet > 196.227.33.189.30084: Flags [P.], seq 1386880088:1386880105, ack 400250287, win 4096, length 17
22:45:33.030942 IP 172.16.113.50.ftp > 172.16.114.50.7111: Flags [P.], seq 1829376077:1829376105, ack 4263767366, win 4096, length 28
22:52:07.608651 IP 172.16.112.50.ftp > 206.47.98.151.2083: Flags [P.], seq 881201070:881201118, ack 2093443073, win 8760, length 48
23:03:24.543003 IP 172.16.112.50.ftp > 172.16.114.50.7224: Flags [P.], seq 966720408:966720436, ack 4128830936, win 8760, length 28
23:40:25.624352 IP 172.16.112.50.ftp > 172.16.114.50.7288: Flags [P.], seq 1244518745:1244518773, ack 2000003150, win 8760, length 28
00:10:53.619755 IP 172.16.112.50.ftp > 172.16.114.50.7303: Flags [P.], seq 1473043043:1473043071, ack 1821396032, win 8760, length 28
00:49:13.744255 IP 172.16.112.100.ftp > 204.71.51.16.2066: Flags [P.], seq 33969397:33969427, ack 3131790895, win 8730, length 30
00:49:17.426810 IP 204.71.51.16.2067 > 172.16.112.100.ftp-data: Flags [.], seq 2394852699:2394854159, ack 33980516, win 32736, length 1460
00:49:18.582290 IP 204.71.51.16.2068 > 172.16.112.100.ftp-data: Flags [.], seq 581489899:581491359, ack 33981657, win 32736, length 1460
00:49:19.649901 IP 204.71.51.16.2072 > 172.16.112.100.ftp-data: Flags [.], seq 2686686935:2686688395, ack 33982735, win 32736, length 1460
01:12:42.718206 IP 172.16.112.50.ftp > 172.16.114.50.7746: Flags [P.], seq 1938363594:1938363620, ack 383046542, win 8760, length 26
