12:07:25.132423 IP 172.16.112.100.ftp > 172.16.113.204.2678: Flags [P.], seq 1514666:1514697, ack 457125304, win 8710, length 31
16:05:21.481379 IP 172.16.112.50.telnet > 172.16.112.149.19620: Flags [P.], seq 2011968374:2011968391, ack 471518762, win 8760, length 17
16:07:18.854358 IP 172.16.113.50.telnet > 172.16.114.168.24270: Flags [P.], seq 2041600098:2041600115, ack 2634754557, win 4096, length 17
16:12:18.527119 IP 172.16.112.100.ftp > 206.48.44.50.4116: Flags [P.], seq 6320698:6320729, ack 2860980861, win 8715, length 31
16:17:44.891480 IP 208.130.29.13.http > 172.16.113.204.8307: Flags [.], seq 1796814421:1796815881, ack 4030193932, win 32736, length 1460
16:17:44.892707 IP 208.130.29.13.http > 172.16.113.204.8307: Flags [.], seq 1460:2920, ack 1, win 32736, length 1460
16:17:44.900074 IP 208.130.29.13.http > 172.16.113.204.8307: Flags [.], seq 2920:4380, ack 1, win 32736, length 1460
16:17:44.901316 IP 208.130.29.13.http > 172.16.113.204.8307: Flags [.], seq 4380:5840, ack 1, win 32736, length 1460
16:17:44.902545 IP 208.130.29.13.http > 172.16.113.204.8307: Flags [P.], seq 5840:7300, ack 1, win 32736, length 1460
16:17:44.907990 IP 208.130.29.13.http > 172.16.113.204.8307: Flags [P.], seq 7300:7618, ack 1, win 32736, length 318
16:17:57.869802 IP 172.16.113.50.ftp > 172.16.114.50.2128: Flags [P.], seq 2123712075:2123712101, ack 2888764226, win 4096, length 26
16:22:59.145193 IP 208.130.29.13.http > 172.16.113.204.12314: Flags [.], seq 3150441574:3150443034, ack 1805460604, win 32736, length 1460
16:22:59.146438 IP 208.130.29.13.http > 172.16.113.204.12314: Flags [.], seq 1460:2920, ack 1, win 32736, length 1460
16:22:59.153968 IP 208.130.29.13.http > 172.16.113.204.12314: Flags [.], seq 2920:4380, ack 1, win 32736, length 1460
16:22:59.155201 IP 208.130.29.13.http > 172.16.113.204.12314: Flags [.], seq 4380:5840, ack 1, win 32736, length 1460
16:22:59.156434 IP 208.130.29.13.http > 172.16.113.204.12314: Flags [P.], seq 5840:7300, ack 1, win 32736, length 1460
16:22:59.161858 IP 208.130.29.13.http > 172.16.113.204.12314: Flags [P.], seq 7300:7618, ack 1, win 32736, length 318
16:24:56.856888 IP 172.16.112.100.ftp > 196.227.33.189.19189: Flags [P.], seq 7081666:7081697, ack 3133175321, win 8713, length 31
16:25:20.168373 IP 172.16.112.50.ftp > 172.16.114.50.2143: Flags [P.], seq 2164708892:2164708918, ack 3909755583, win 8760, length 26
16:26:30.898029 IP 172.16.112.50.telnet > 172.16.112.194.18741: Flags [P.], seq 2173526648:2173526665, ack 3043158227, win 8760, length 17
16:39:39.338885 IP 172.16.112.100.ftp > 135.8.60.182.20543: Flags [P.], seq 7964307:7964338, ack 169149278, win 8713, length 31
16:40:16.408871 IP 172.16.114.148.ftp > www.a-be.org.20587: Flags [P.], seq 2457565564:2457565612, ack 1776731056, win 32736, length 48
16:44:31.699958 IP 172.16.112.100.ftp > 196.227.33.189.21242: Flags [P.], seq 8256729:8256760, ack 230909102, win 8713, length 31
16:45:05.091271 IP 172.16.112.100.ftp > 172.16.114.50.2224: Flags [P.], seq 8290073:8290104, ack 3287343885, win 8714, length 31
16:50:19.086476 IP 172.16.114.148.ftp > 206.48.44.50.4125: Flags [P.], seq 2181579422:2181579470, ack 4068231214, win 32736, length 48
16:52:28.613734 IP 172.16.112.100.ftp > www.aasa.co.za.22639: Flags [P.], seq 8733666:8733697, ack 351497997, win 8711, length 31
16:57:15.628362 IP 172.16.112.50.ftp > 194.27.251.21.1170: Flags [P.], seq 2412273618:2412273648, ack 3985814183, win 8760, length 30
17:25:37.710983 IP 172.16.113.50.telnet > 196.227.33.189.27809: Flags [P.], seq 497088097:497088114, ack 469232963, win 4096, length 17
17:27:28.703788 IP 172.16.114.50.telnet > 172.16.114.168.13229: Flags [P.], seq 2630440378:2630440404, ack 3155649089, win 31744, length 26
17:43:19.157157 IP 172.16.112.100.ftp > 196.227.33.189.29072: Flags [P.], seq 11784698:11784729, ack 1973772550, win 8713, length 31
17:45:33.620328 IP 172.16.112.100.ftp > 194.27.251.21.29216: Flags [P.], seq 11919245:11919276, ack 3539077103, win 8715, length 31
17:56:19.244486 IP 172.16.112.50.telnet > static.kpn.net.30199: Flags [P.], seq 2856945048:2856945065, ack 3270723982, win 8760, length 17
17:56:25.452432 IP 172.16.112.50.telnet > static.kpn.net.30199: Flags [P.], seq 45:62, ack 22, win 8760, length 17
17:59:10.199997 IP 172.16.114.148.ftp > 197.218.177.69.30820: Flags [P.], seq 1537469285:1537469333, ack 1476741349, win 32736, length 48
18:13:52.100517 IP 172.16.112.100.ftp > 172.16.114.148.1027: Flags [P.], seq 13617870:13617901, ack 3277872178, win 8714, length 31
18:14:48.622573 IP 131.55.137.50.http > 172.16.113.204.kx: Flags [.], seq 2318035854:2318037314, ack 4007735713, win 32736, length 1460
18:14:48.623803 IP 131.55.137.50.http > 172.16.113.204.kx: Flags [.], seq 1460:2920, ack 1, win 32736, length 1460
18:14:48.632820 IP 131.55.137.50.http > 172.16.113.204.kx: Flags [.], seq 2920:4380, ack 1, win 32736, length 1460
18:14:48.634087 IP 131.55.137.50.http > 172.16.113.204.kx: Flags [.], seq 4380:5840, ack 1, win 32736, length 1460
18:14:48.635306 IP 131.55.137.50.http > 172.16.113.204.kx: Flags [.], seq 5840:7300, ack 1, win 32736, length 1460
18:14:48.642618 IP 131.55.137.50.http > 172.16.113.204.kx: Flags [.], seq 7300:8760, ack 1, win 32736, length 1460
18:14:48.643852 IP 131.55.137.50.http > 172.16.113.204.kx: Flags [.], seq 8760:10220, ack 1, win 32736, length 1460
18:14:48.645084 IP 131.55.137.50.http > 172.16.113.204.kx: Flags [.], seq 10220:11680, ack 1, win 32736, length 1460
18:14:48.646213 IP 131.55.137.50.http > 172.16.113.204.kx: Flags [P.], seq 11680:12996, ack 1, win 32736, length 1316
18:15:14.496212 IP 131.55.137.50.http > 172.16.113.204.2317: Flags [.], seq 1236134633:1236136093, ack 3463448407, win 32736, length 1460
18:15:15.054160 IP 131.55.137.50.http > 172.16.113.204.2317: Flags [.], seq 423400:424860, ack 1, win 32736, length 1460
18:15:15.079597 IP 131.55.137.50.http > 172.16.113.204.2317: Flags [.], seq 442380:443840, ack 1, win 32736, length 1460
18:15:18.001684 IP 172.16.112.100.ftp > 172.16.112.194.2484: Flags [P.], seq 13703838:13703869, ack 2261750593, win 8709, length 31
18:18:38.974897 IP 172.16.114.148.ftp > 196.227.33.189.32462: Flags [P.], seq 1722654516:1722654564, ack 389700821, win 32736, length 48
18:28:59.518597 IP 172.16.114.50.ftp > 172.16.112.50.33074: Flags [P.], seq 192045235:192045263, ack 3099304584, win 31744, length 28
18:29:08.253509 IP 172.16.112.100.ftp > 196.227.33.189.2102: Flags [P.], seq 14534354:14534385, ack 2567301532, win 8713, length 31
18:35:07.723621 IP 172.16.114.148.ftp > 196.227.33.189.2323: Flags [P.], seq 1438150590:1438150638, ack 1494513430, win 32736, length 48
18:36:10.018461 IP 172.16.112.100.ftp > 135.13.216.191.ospf6d: Flags [P.], seq 14956229:14956260, ack 1336706778, win 8714, length 31
18:44:22.276060 IP 172.16.112.100.ftp > 172.16.113.84.11900: Flags [P.], seq 15448541:15448572, ack 1492874730, win 8711, length 31
18:45:28.730109 IP 172.16.114.50.telnet > 172.16.114.168.12308: Flags [P.], seq 2767183292:2767183318, ack 215036865, win 31744, length 26
18:50:03.710737 IP 172.16.114.169.telnet > 196.227.33.189.4191: Flags [P.], seq 11645736:11645762, ack 762339921, win 32736, length 26
18:52:44.911643 IP 172.16.114.148.ftp > 108.218.115.195.rev.sfr.net.4194: Flags [P.], seq 2158442345:2158442393, ack 3710615082, win 32736, length 48
18:52:59.246890 IP 172.16.112.100.ftp > 172.16.114.207.17900: Flags [P.], seq 15965588:15965619, ack 4130090204, win 8710, length 31
18:53:20.780724 IP 172.16.112.100.ftp > 197.218.177.69.4248: Flags [P.], seq 15987198:15987229, ack 831220396, win 8714, length 31
18:58:23.309948 IP qrvl-209-74-60-168.ppp.qrvl.epix.net.16846 > 172.16.114.50.ms-sql-s: Flags [S], seq 3243104079, win 512, options [mss 1460], length 0
18:58:23.410216 IP qrvl-209-74-60-168.ppp.qrvl.epix.net.18122 > 172.16.114.50.1521: Flags [S], seq 4120861844, win 512, options [mss 1460], length 0
18:58:24.533297 IP qrvl-209-74-60-168.ppp.qrvl.epix.net.22623 > 172.16.114.50.mysql: Flags [S], seq 1925145610, win 512, options [mss 1460], length 0
18:58:25.175760 IP qrvl-209-74-60-168.ppp.qrvl.epix.net.14361 > 172.16.114.50.4333: Flags [S], seq 2289308562, win 512, options [mss 1460], length 0
18:58:25.885721 IP qrvl-209-74-60-168.ppp.qrvl.epix.net.1029 > 172.16.114.50.postgresql: Flags [S], seq 2991800257, win 512, options [mss 1460], length 0
18:58:26.102776 IP qrvl-209-74-60-168.ppp.qrvl.epix.net.8292 > 172.16.114.50.5804: Flags [S], seq 1664788951, win 512, options [mss 1460], length 0
18:58:26.106925 IP qrvl-209-74-60-168.ppp.qrvl.epix.net.8303 > 172.16.114.50.5810: Flags [S], seq 3789689916, win 512, options [mss 1460], length 0
18:58:26.108355 IP qrvl-209-74-60-168.ppp.qrvl.epix.net.8334 > 172.16.114.50.5815: Flags [S], seq 2286557331, win 512, options [mss 1460], length 0
18:58:26.109695 IP qrvl-209-74-60-168.ppp.qrvl.epix.net.8363 > 172.16.114.50.5820: Flags [S], seq 5613722, win 512, options [mss 1460], length 0
18:58:26.160586 IP qrvl-209-74-60-168.ppp.qrvl.epix.net.9589 > 172.16.114.50.5904: Flags [S], seq 3905743985, win 512, options [mss 1460], length 0
18:58:26.163723 IP qrvl-209-74-60-168.ppp.qrvl.epix.net.9649 > 172.16.114.50.5909: Flags [S], seq 3858740614, win 512, options [mss 1460], length 0
18:58:26.167683 IP qrvl-209-74-60-168.ppp.qrvl.epix.net.9812 > 172.16.114.50.5914: Flags [S], seq 2537179683, win 512, options [mss 1460], length 0
18:58:26.170846 IP qrvl-209-74-60-168.ppp.qrvl.epix.net.amanda > 172.16.114.50.5919: Flags [S], seq 3746982012, win 512, options [mss 1460], length 0
18:58:28.881265 IP qrvl-209-74-60-168.ppp.qrvl.epix.net.1029 > 172.16.114.50.postgresql: Flags [S], seq 2991800257, win 32120, options [mss 1460], length 0
18:58:29.101958 IP qrvl-209-74-60-168.ppp.qrvl.epix.net.8312 > 172.16.114.50.5811: Flags [S], seq 3851280662, win 32120, options [mss 1460], length 0
18:58:29.103136 IP qrvl-209-74-60-168.ppp.qrvl.epix.net.8338 > 172.16.114.50.5816: Flags [S], seq 2680361720, win 32120, options [mss 1460], length 0
19:00:37.523866 IP qrvl-209-74-60-168.ppp.qrvl.epix.net.12667 > 172.16.114.50.ftp: Flags [P.], seq 3848423701:3848423715, ack 987989758, win 32120, length 14
19:00:37.616551 IP 172.16.114.50.ftp > qrvl-209-74-60-168.ppp.qrvl.epix.net.12667: Flags [P.], seq 1:49, ack 14, win 31744, length 48
19:06:44.684690 IP 172.16.112.100.ftp > 172.16.112.194.10328: Flags [P.], seq 16791104:16791135, ack 1859061956, win 8710, length 31
19:06:45.856327 IP 172.16.112.100.ftp > 172.16.113.84.10330: Flags [P.], seq 16792338:16792369, ack 2567179718, win 8711, length 31
19:12:59.039420 IP 172.16.112.100.ftp > 172.16.113.84.21279: Flags [P.], seq 17165557:17165588, ack 2411656613, win 8713, length 31
19:14:31.579496 IP 172.16.114.148.ftp > 135.8.60.182.6722: Flags [P.], seq 1548605010:1548605058, ack 727197465, win 32736, length 48
19:15:59.818697 IP 172.16.112.50.telnet > 172.16.114.168.24674: Flags [P.], seq 3462850329:3462850346, ack 3659245180, win 8760, length 17
19:18:52.334036 IP 172.16.114.168.28215 > 192.168.1.20.ircd: Flags [P.], seq 4011098184:4011098196, ack 1968478799, win 32120, length 12
19:19:20.406384 IP 172.16.114.168.telnet > 197.182.91.233.7686: Flags [P.], seq 343843364:343843390, ack 427728302, win 32736, length 26
19:28:24.943852 IP 172.16.113.105.12351 > 192.168.1.20.ircd: Flags [P.], seq 549180879:549180893, ack 3545090506, win 32120, length 14
19:29:15.858958 IP 172.16.112.100.ftp > 172.16.113.50.1141: Flags [P.], seq 18139182:18139213, ack 1446400050, win 8711, length 31
19:35:03.322834 IP 172.16.112.100.ftp > 197.218.177.69.8754: Flags [P.], seq 18487713:18487744, ack 55639964, win 8714, length 31
19:35:26.100244 IP 197.218.177.69.ftp-data > 172.16.112.194.25008: Flags [.], seq 1996628901:1996630361, ack 2177455557, win 32120, length 1460
19:39:15.092183 IP 172.16.112.50.telnet > 172.16.114.168.1381: Flags [P.], seq 3639404138:3639404155, ack 3384402898, win 8760, length 17
19:39:16.511636 IP 172.16.112.100.ftp > 108.218.115.195.rev.sfr.net.9115: Flags [P.], seq 18742463:18742494, ack 1588360146, win 8712, length 31
19:43:59.258462 IP 172.16.112.149.telnet > 135.13.216.191.9587: Flags [P.], seq 1646150610:1646150636, ack 51505091, win 32736, length 26
19:44:01.487934 IP 172.16.112.149.telnet > 135.13.216.191.9587: Flags [P.], seq 45:71, ack 21, win 32736, length 26
19:44:03.637374 IP 172.16.112.149.telnet > 135.13.216.191.9587: Flags [P.], seq 90:116, ack 41, win 32736, length 26
19:44:05.767553 IP 172.16.112.149.telnet > 135.13.216.191.9587: Flags [P.], seq 135:154, ack 61, win 32736, length 19
19:45:26.496419 IP 172.16.112.100.ftp > 172.16.112.149.13141: Flags [P.], seq 19112807:19112838, ack 2066161426, win 8710, length 31
19:50:17.220440 IP 172.16.112.100.ftp > 206.48.44.50.4137: Flags [P.], seq 19401370:19401401, ack 1333243391, win 8714, length 31
19:53:05.618962 IP 172.16.114.50.telnet > 172.16.113.105.27150: Flags [P.], seq 879989664:879989690, ack 2637677314, win 31744, length 26
20:01:50.880233 IP 172.16.114.148.ftp > www.a-be.org.12364: Flags [P.], seq 1670022760:1670022808, ack 3533678664, win 32736, length 48
20:02:21.542909 IP 172.16.112.100.ftp > static.kpn.net.12569: Flags [P.], seq 20128495:20128526, ack 3251869249, win 8714, length 31
20:03:08.926520 IP 172.16.112.100.ftp > b1-083.sbt.net.2131: Flags [P.], seq 20175302:20175331, ack 1182413650, win 8731, length 29
20:03:12.136361 IP b1-083.sbt.net.2132 > 172.16.112.100.ftp-data: Flags [.], seq 3420469051:3420470511, ack 20180063, win 32736, length 1460
20:03:12.141420 IP b1-083.sbt.net.2132 > 172.16.112.100.ftp-data: Flags [.], seq 2920:4380, ack 1, win 32736, length 1460
20:03:13.200392 IP b1-083.sbt.net.2136 > 172.16.112.100.ftp-data: Flags [.], seq 1118652544:1118654004, ack 20181141, win 32736, length 1460
20:07:20.694762 IP 172.16.112.50.telnet > 172.16.112.194.5150: Flags [P.], seq 3857941836:3857941853, ack 912755467, win 8760, length 17
20:07:26.948845 IP 172.16.112.50.telnet > 172.16.112.194.5150: Flags [P.], seq 43:60, ack 15, win 8760, length 17
20:07:47.488939 IP 172.16.112.50.telnet > 172.16.113.105.6243: Flags [P.], seq 3861362036:3861362053, ack 2671000333, win 8760, length 17
