12:00:43.729796 IP 172.16.114.148.ftp > 194.27.251.21.1024: Flags [P.], seq 246757133:246757181, ack 3426122286, win 32736, length 48
15:58:58.261347 IP 172.16.113.50.ftp > 172.16.114.50.3160: Flags [P.], seq 2024896079:2024896109, ack 2221971931, win 4096, length 30
16:07:55.886300 IP 172.16.112.100.ftp > 172.16.114.169.8239: Flags [P.], seq 16312495:16312526, ack 4036759545, win 8714, length 31
16:11:16.032348 IP 172.16.114.148.ftp > 194.27.251.21.21715: Flags [P.], seq 378413299:378413347, ack 2925479635, win 32736, length 48
16:11:37.650731 IP 172.16.112.100.ftp > 197.182.91.233.22263: Flags [P.], seq 16534198:16534229, ack 2502146519, win 8713, length 31
16:15:00.633574 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 3382943169:3382944629, ack 1166533584, win 32736, length 1460
16:15:00.650916 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 7300:8760, ack 1, win 32736, length 1460
16:15:00.652146 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 8760:10220, ack 1, win 32736, length 1460
16:15:00.653395 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 10220:11680, ack 1, win 32736, length 1460
16:15:00.654621 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 11680:13140, ack 1, win 32736, length 1460
16:15:00.662066 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 14600:16060, ack 1, win 32736, length 1460
16:15:00.663295 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 16060:17520, ack 1, win 32736, length 1460
16:15:00.671962 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 20440:21900, ack 1, win 32736, length 1460
16:15:00.673191 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 21900:23360, ack 1, win 32736, length 1460
16:15:00.674423 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 23360:24820, ack 1, win 32736, length 1460
16:15:00.675708 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 24820:26280, ack 1, win 32736, length 1460
16:15:00.677017 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 26280:27740, ack 1, win 32736, length 1460
16:15:00.678308 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 27740:29200, ack 1, win 32736, length 1460
16:15:00.684566 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 29200:30660, ack 1, win 32736, length 1460
16:15:00.687442 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 32120:33580, ack 1, win 32736, length 1460
16:15:00.696463 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 39420:40880, ack 1, win 32736, length 1460
16:15:00.697819 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 40880:42340, ack 1, win 32736, length 1460
16:15:00.699112 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 42340:43800, ack 1, win 32736, length 1460
16:15:00.706678 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 45260:46720, ack 1, win 32736, length 1460
16:15:00.709137 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 48180:49640, ack 1, win 32736, length 1460
16:15:00.710368 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 49640:51100, ack 1, win 32736, length 1460
16:15:00.716049 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 52560:54020, ack 1, win 32736, length 1460
16:15:00.717298 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 54020:55480, ack 1, win 32736, length 1460
16:15:00.718525 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 55480:56940, ack 1, win 32736, length 1460
16:15:00.720079 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 56940:58400, ack 1, win 32736, length 1460
16:15:00.721312 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 58400:59860, ack 1, win 32736, length 1460
16:15:00.732067 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 67160:68620, ack 1, win 32736, length 1460
16:15:00.733325 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 68620:70080, ack 1, win 32736, length 1460
16:15:00.737780 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 70080:71540, ack 1, win 32736, length 1460
16:15:00.739012 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 71540:73000, ack 1, win 32736, length 1460
16:15:00.740251 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 73000:74460, ack 1, win 32736, length 1460
16:15:00.742723 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 75920:77380, ack 1, win 32736, length 1460
16:15:00.743945 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 77380:78840, ack 1, win 32736, length 1460
16:15:00.745177 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 78840:80300, ack 1, win 32736, length 1460
16:15:00.746748 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 80300:81760, ack 1, win 32736, length 1460
16:15:00.748039 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 81760:83220, ack 1, win 32736, length 1460
16:15:00.769412 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 97820:99280, ack 1, win 32736, length 1460
16:15:00.770697 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 99280:100740, ack 1, win 32736, length 1460
16:15:00.771929 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 100740:102200, ack 1, win 32736, length 1460
16:15:00.774395 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 103660:105120, ack 1, win 32736, length 1460
16:15:00.775685 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 105120:106580, ack 1, win 32736, length 1460
16:15:00.779542 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 109500:110960, ack 1, win 32736, length 1460
16:15:00.784612 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 115340:116800, ack 1, win 32736, length 1460
16:15:00.785868 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 116800:118260, ack 1, win 32736, length 1460
16:15:00.802999 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 121180:122640, ack 1, win 32736, length 1460
16:15:00.806744 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 125560:127020, ack 1, win 32736, length 1460
16:15:00.810508 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 129940:131400, ack 1, win 32736, length 1460
16:15:00.813055 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 132860:134320, ack 1, win 32736, length 1460
16:15:00.821780 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 137240:138700, ack 1, win 32736, length 1460
16:15:00.826873 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 143080:144540, ack 1, win 32736, length 1460
16:15:00.841479 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 147460:148920, ack 1, win 32736, length 1460
16:15:00.844030 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 150380:151840, ack 1, win 32736, length 1460
16:15:00.846578 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 153300:154760, ack 1, win 32736, length 1460
16:15:00.853483 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 157680:159140, ack 1, win 32736, length 1460
16:15:00.862201 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 167900:169360, ack 1, win 32736, length 1460
16:15:00.866046 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 172280:173740, ack 1, win 32736, length 1460
16:15:00.867281 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 173740:175200, ack 1, win 32736, length 1460
16:15:00.868510 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 175200:176660, ack 1, win 32736, length 1460
16:15:00.877692 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 178120:179580, ack 1, win 32736, length 1460
16:15:00.880176 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 181040:182500, ack 1, win 32736, length 1460
16:15:00.881408 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 182500:183960, ack 1, win 32736, length 1460
16:15:00.885103 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 186880:188340, ack 1, win 32736, length 1460
16:15:00.901550 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 205860:207320, ack 1, win 32736, length 1460
16:15:00.911066 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 207320:208780, ack 1, win 32736, length 1460
16:15:00.914785 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 211700:213160, ack 1, win 32736, length 1460
16:15:00.918668 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 216080:217540, ack 1, win 32736, length 1460
16:15:00.922364 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 220460:221920, ack 1, win 32736, length 1460
16:15:00.927926 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 226300:227760, ack 1, win 32736, length 1460
16:15:00.931622 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 230680:232140, ack 1, win 32736, length 1460
16:15:00.935318 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 235060:236520, ack 1, win 32736, length 1460
16:15:00.936585 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 236520:237980, ack 1, win 32736, length 1460
16:15:00.939144 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 239440:240900, ack 1, win 32736, length 1460
16:15:00.940438 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 240900:242360, ack 1, win 32736, length 1460
16:15:00.944217 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 245280:246740, ack 1, win 32736, length 1460
16:15:00.956075 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 251120:252580, ack 1, win 32736, length 1460
16:15:00.959973 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 255500:256960, ack 1, win 32736, length 1460
16:15:00.961229 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 256960:258420, ack 1, win 32736, length 1460
16:15:00.968816 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 261340:262800, ack 1, win 32736, length 1460
16:15:00.971375 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 264260:265720, ack 1, win 32736, length 1460
16:15:00.975069 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 268640:270100, ack 1, win 32736, length 1460
16:15:00.976438 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 270100:271560, ack 1, win 32736, length 1460
16:15:00.980132 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 274480:275940, ack 1, win 32736, length 1460
16:15:00.982743 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 277400:278860, ack 1, win 32736, length 1460
16:15:00.983997 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 278860:280320, ack 1, win 32736, length 1460
16:15:00.985300 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 280320:281780, ack 1, win 32736, length 1460
16:15:00.989070 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 284700:286160, ack 1, win 32736, length 1460
16:15:00.992765 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 289080:290540, ack 1, win 32736, length 1460
16:15:00.996522 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 293460:294920, ack 1, win 32736, length 1460
16:15:01.014081 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 297840:299300, ack 1, win 32736, length 1460
16:15:01.030820 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 316820:318280, ack 1, win 32736, length 1460
16:15:01.032043 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 318280:319740, ack 1, win 32736, length 1460
16:15:01.035738 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 322660:324120, ack 1, win 32736, length 1460
16:15:01.036998 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 324120:325580, ack 1, win 32736, length 1460
16:15:01.039481 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 327040:328500, ack 1, win 32736, length 1460
16:15:01.063346 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 329960:331420, ack 1, win 32736, length 1460
16:15:01.067068 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 334340:335800, ack 1, win 32736, length 1460
16:15:01.070942 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 338720:340180, ack 1, win 32736, length 1460
16:15:01.072234 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 340180:341640, ack 1, win 32736, length 1460
16:15:01.074698 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 343100:344560, ack 1, win 32736, length 1460
16:15:01.077385 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 346020:347480, ack 1, win 32736, length 1460
16:15:01.078638 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 347480:348940, ack 1, win 32736, length 1460
16:15:01.081185 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 350400:351860, ack 1, win 32736, length 1460
16:15:01.083764 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 353320:354780, ack 1, win 32736, length 1460
16:15:01.086230 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 356240:357700, ack 1, win 32736, length 1460
16:15:01.087461 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 357700:359160, ack 1, win 32736, length 1460
16:15:01.088725 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 359160:360620, ack 1, win 32736, length 1460
16:15:01.090009 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 360620:362080, ack 1, win 32736, length 1460
16:15:01.102189 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 362080:363540, ack 1, win 32736, length 1460
16:15:01.104655 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 365000:366460, ack 1, win 32736, length 1460
16:15:01.108445 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 369380:370840, ack 1, win 32736, length 1460
16:15:01.116571 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 375220:376680, ack 1, win 32736, length 1460
16:15:01.121037 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 376680:378140, ack 1, win 32736, length 1460
16:15:01.123501 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 379600:381060, ack 1, win 32736, length 1460
16:15:01.132696 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 382520:383980, ack 1, win 32736, length 1460
16:15:01.139840 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 386900:388360, ack 1, win 32736, length 1460
16:15:01.145435 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 389820:391280, ack 1, win 32736, length 1460
16:15:01.147974 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 392740:394200, ack 1, win 32736, length 1460
16:15:01.163100 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 410260:411720, ack 1, win 32736, length 1460
16:15:01.164331 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 411720:413180, ack 1, win 32736, length 1460
16:15:01.173122 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 416100:417560, ack 1, win 32736, length 1460
16:15:01.177156 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 420480:421940, ack 1, win 32736, length 1460
16:15:01.179641 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 423400:424860, ack 1, win 32736, length 1460
16:15:01.182107 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 426320:427780, ack 1, win 32736, length 1460
16:15:01.183337 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 427780:429240, ack 1, win 32736, length 1460
16:15:01.187190 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 432160:433620, ack 1, win 32736, length 1460
16:15:01.191052 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 436540:438000, ack 1, win 32736, length 1460
16:15:01.192336 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 438000:439460, ack 1, win 32736, length 1460
16:15:01.196126 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 442380:443840, ack 1, win 32736, length 1460
16:15:01.206339 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 446760:448220, ack 1, win 32736, length 1460
16:15:01.208901 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 449680:451140, ack 1, win 32736, length 1460
16:15:01.211382 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 452600:454060, ack 1, win 32736, length 1460
16:15:01.220467 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 461360:462820, ack 1, win 32736, length 1460
16:15:01.222943 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 464280:465740, ack 1, win 32736, length 1460
16:15:01.226785 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 468660:470120, ack 1, win 32736, length 1460
16:15:01.229256 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 471580:473040, ack 1, win 32736, length 1460
16:15:01.232944 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 475960:477420, ack 1, win 32736, length 1460
16:15:01.234175 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 477420:478880, ack 1, win 32736, length 1460
16:15:01.236866 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 480340:481800, ack 1, win 32736, length 1460
16:15:01.240557 IP 134.205.165.120.http > 172.16.114.148.14449: Flags [.], seq 484720:486180, ack 1, win 32736, length 1460
